platform,timestamp,asset,fiat,price,min_amount,max_amount,available_amount,trade_type,country_code,payment_methods,advertiser_name,completion_rate,order_count,ad_id,premium_pct,official_rate,collection_id
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.0,1400000.0,1571963.0,1203.73,BUY,AR,"[""Bank Transfer (Argentina)""]",Verlaine99,0.95,19,13783640505520996352,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.0,300000.0,1311955.0,1005.03,BUY,AR,"[""Banco Brubank"", ""Bank Transfer (Argentina)"", ""Mercadopago"", ""Uala"", ""BBVA""]",marianoudelgado,1.0,34,12783602472073977856,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.0,30000.0,256112.0,203.54,BUY,AR,"[""Banco Brubank"", ""Mercadopago"", ""Reba""]",ValorArg,1.0,52,12783125147454025728,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.0,200000.0,483186.0,370.0,BUY,AR,"[""Lemon Cash""]",JawenoGroup,1.0,59,13757962617743495168,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.2,129000.0,130558.0,100.0,BUY,AR,"[""Mercadopago""]",Anny,1.0,9,12751691722405765120,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.42,99999.0,1012536.0,775.41,BUY,AR,"[""Mercadopago"", ""Banco Brubank"", ""Naranja X"", ""Lemon Cash""]",LaReceta,1.0,49,12781716266360868864,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.44,10000.0,390925.0,299.37,BUY,AR,"[""Mercadopago"", ""Uala"", ""Lemon Cash""]",Skyeyes25,1.0,171,12777054560811810816,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.45,8000.0,435096.0,333.06,BUY,AR,"[""Banco Brubank"", ""Uala"", ""Mercadopago"", ""Lemon Cash"", ""Naranja X""]",Leo1978,1.0,223,12735966641310904320,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.49,30000.0,81055.0,62.07,BUY,AR,"[""Mercadopago"", ""Lemon Cash"", ""Uala"", ""Bank Transfer (Argentina)"", ""Banco Brubank""]",mgtCrypto,1.0,61,12783659428124680192,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.5,7840.0,14939.0,11.44,BUY,AR,"[""Lemon Cash"", ""Mercadopago"", ""Banco Brubank""]",RodrigoCambiosP2P,0.85,17,12783595661132779520,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.5,100000.0,130588.0,100.0,BUY,AR,"[""Lemon Cash"", ""Mercadopago"", ""Banco Brubank"", ""Naranja X""]",Dag11,0.992,355,12783214002713567232,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.5,8000.0,231500.0,177.41,BUY,AR,"[""Uala"", ""Mercadopago"", ""Banco del Sol"", ""Banco Brubank"", ""Lemon Cash""]",NexusArbitraje,1.0,72,12783665382459469824,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.5,50000.0,410075.0,314.02,BUY,AR,"[""Mercadopago"", ""Uala"", ""Banco Brubank"", ""Lemon Cash"", ""Naranja X""]",cele1532,1.0,66,12775978089948651520,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.64,100000.0,106091.0,81.2,BUY,AR,"[""Mercadopago"", ""Banco Brubank"", ""Uala"", ""Lemon Cash""]",LibreMercado-Futuro,0.989,1137,13695150704413921280,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.69,100000.0,289111.0,221.27,BUY,AR,"[""Bank Transfer (Argentina)"", ""Reba"", ""BBVA"", ""Prex""]",-CryptoFree-,0.991,404,13737267256024821760,,,collection_20250730_022303
binance,2025-07-30T00:23:04.199876Z,USDT,ARS,1308.7,10000.0,1959131.0,1500.0,BUY,AR,"[""Banco Brubank"", ""Prex"", ""Lemon Cash""]",FAMCAST,0.991,109,12780679150509375488,,,collection_20250730_022303
