platform,timestamp,asset,fiat,price,min_amount,max_amount,available_amount,trade_type,country_code,payment_methods,advertiser_name,completion_rate,order_count,ad_id,premium_pct,official_rate,collection_id
binance,2025-07-30T00:22:32.603237Z,USDT,SDG,2890.0,2000.0,2001.0,5000.0,BUY,SD,"[""Bank of Khartoum"", ""Faisal Islamic Bank"", ""Fawry (Faisal Islamic Bank)""]",AliMilA,0.906,182,13782127098415575040,,,collection_20250730_022231
binance,2025-07-30T00:22:32.603237Z,USDT,SDG,2941.0,1000.0,1001.0,400.0,BUY,SD,"[""Bank of Khartoum""]",Wdalmelok,0.91,70,12783274168047321088,,,collection_20250730_022231
binance,2025-07-30T00:22:32.603237Z,USDT,SDG,2941.86,1000.0,1020.0,100.0,BUY,SD,"[""Bank of Khartoum""]",Zcio,0.908,690,12783647784366231552,,,collection_20250730_022231
binance,2025-07-30T00:22:32.603237Z,USDT,SDG,2942.44,1000.0,1100.0,105.0,BUY,SD,"[""Bank of Khartoum""]",25__ixi__fast,0.834,10,12783591829705273344,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.46,500000.0,15000000.0,1827829.17,SELL,SD,"[""Bank of Khartoum""]",HETLER_CRYPTO,0.947,728,12777128641804038144,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.46,500000.0,30000000.0,1975936.16,SELL,SD,"[""Bank of Khartoum""]",HETLER_CRYPTO,0.947,728,12775858997505798144,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.46,500000.0,15000000.0,1997628.27,SELL,SD,"[""Bank of Khartoum""]",HETLER_CRYPTO,0.947,728,12681371518356426752,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.46,500000.0,5000000.0,1994095.34,SELL,SD,"[""Bank of Khartoum""]",Kanar_USDT,0.956,195,12697998780534759424,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,100000.0,4000000.0,32128.33,SELL,SD,"[""Bank of Khartoum""]",Kira_Business,0.979,1021,12779640733405663232,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,70000.0,2000000.0,34563.36,SELL,SD,"[""Bank of Khartoum""]",ALHAJJ_CRYPTO,0.862,440,12731764135692652544,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,100000.0,6000000.0,1980861.05,SELL,SD,"[""Bank of Khartoum""]",AliMilA,0.906,182,12667233164530405376,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,200000.0,6000000.0,1995561.75,SELL,SD,"[""Bank of Khartoum""]",AliMilA,0.906,182,12667304505170317312,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,50000.0,2500000.0,47571.23,SELL,SD,"[""Bank of Khartoum"", ""Omdurman National Bank"", ""Fawry (Faisal Islamic Bank)""]",master-crypto6,0.815,79,12679810491922313216,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,100000.0,2500000.0,9628.11,SELL,SD,"[""Bank of Khartoum""]",YangoO-Crypto,0.975,306,12759920672609304576,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,5000.0,200000.0,7186.58,SELL,SD,"[""Bank of Khartoum""]",2kjkj,0.94,448,12720155835563237376,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,50000.0,2500000.0,45970.89,SELL,SD,"[""Bank of Khartoum""]",faris_2000,0.878,259,12776244236492226560,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,90000.0,2500000.0,48160.46,SELL,SD,"[""Omdurman National Bank"", ""Fawry (Faisal Islamic Bank)"", ""Bank of Khartoum""]",P2P-460ab0ra,0.906,307,12777087652747771904,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,50000.0,2500000.0,48871.61,SELL,SD,"[""Bank of Khartoum""]",MASTER-CRYPTO1,0.935,255,12752714172041011200,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,100000.0,75000000.0,1995422.47,SELL,SD,"[""Bank of Khartoum""]",M_alhasin,0.974,372,12772425559844634624,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,200000.0,2500000.0,48199.47,SELL,SD,"[""Bank of Khartoum""]",Cross77,0.898,96,12767511515611545600,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,200000.0,30000000.0,1981359.49,SELL,SD,"[""Bank of Khartoum""]",M_alhasin,0.974,372,12776542922824847360,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,200000.0,2500000.0,5000.0,SELL,SD,"[""Bank of Khartoum""]",Mclov8n,1.0,20,12702072717214330880,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,100000.0,5000000.0,1992723.48,SELL,SD,"[""Bank of Khartoum""]",Kanar_USDT,0.956,195,12732796680319725568,,,collection_20250730_022231
binance,2025-07-30T00:22:34.854505Z,USDT,SDG,2943.43,100000.0,30000000.0,1974115.28,SELL,SD,"[""Bank of Khartoum""]",M_alhasin,0.974,372,12661110099410305024,,,collection_20250730_022231
binance,2025-07-30T00:22:36.760673Z,USDT,SDG,2943.43,100000.0,2500000.0,929.51,SELL,SD,"[""Bank of Khartoum"", ""Fawry (Faisal Islamic Bank)""]",Waleed__-,0.894,210,12779879670552018944,,,collection_20250730_022231
binance,2025-07-30T00:22:36.760673Z,USDT,SDG,2943.43,30000.0,2500000.0,36307.09,SELL,SD,"[""Bank of Khartoum""]",ETA_1988,0.994,1206,12776267270090465280,,,collection_20250730_022231
binance,2025-07-30T00:22:36.760673Z,USDT,SDG,2943.43,100000.0,30000000.0,1979350.57,SELL,SD,"[""Bank of Khartoum""]",M_alhasin,0.974,372,12761260379086176256,,,collection_20250730_022231
binance,2025-07-30T00:22:36.760673Z,USDT,SDG,2943.43,500000.0,2500000.0,50000.0,SELL,SD,"[""Bank of Khartoum""]",PERFECT-crypto_,0.945,136,12777155015084679168,,,collection_20250730_022231
binance,2025-07-30T00:22:36.760673Z,USDT,SDG,2943.43,500000.0,2500000.0,45000.0,SELL,SD,"[""Bank of Khartoum""]",GOOGINS,0.978,88,12782360066589954048,,,collection_20250730_022231
binance,2025-07-30T00:22:36.760673Z,USDT,SDG,2943.43,1000000.0,2500000.0,46691.36,SELL,SD,"[""Bank of Khartoum""]",a7med_Kh,0.834,30,12775489910581424128,,,collection_20250730_022231
binance,2025-07-30T00:22:36.760673Z,USDT,SDG,2943.43,200000.0,15000000.0,1941255.81,SELL,SD,"[""Bank of Khartoum""]",HuDa-CrYpTo,0.979,369,12723560815181987840,,,collection_20250730_022231
