platform,timestamp,asset,fiat,price,min_amount,max_amount,available_amount,trade_type,country_code,payment_methods,advertiser_name,completion_rate,order_count,ad_id,premium_pct,official_rate,collection_id
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.7,31999.0,32000.0,200.0,BUY,VE,"[""Transfers with specific bank""]",ElioF,1.0,42,12783667300258668544,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.8,5000.0,24970.0,150.0,BUY,VE,"[""Banesco"", ""Provincial""]",tatira26,1.0,127,12708896197117972480,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.898,320.0,10000.0,97.59,BUY,VE,"[""Mercantil""]",AdriV-P2P,0.997,2881,12768435378848804864,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.9,2000.0,2338.0,14.04,BUY,VE,"[""Banesco""]",VKlaus,0.987,72,12781398095930576896,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.9,300.0,566.0,3.4,BUY,VE,"[""Banesco"", ""Bancamiga"", ""Mercantil""]",P2P-50870djo,1.0,58,12782568975627313152,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.9,30000.0,72629.0,436.04,BUY,VE,"[""Mercantil""]",Mustangp2p,1.0,732,12777178947504852992,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.93,10000.0,15520.0,93.16,BUY,VE,"[""Provincial""]",Edglis15,1.0,18,12783235108719636480,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.98,16698.0,41745.0,250.5,BUY,VE,"[""Banesco""]",The-Hup_82,1.0,1016,12783655780574007296,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.98,5000.0,38377.0,230.29,BUY,VE,"[""Mercantil"", ""Pago Movil""]",Jesuslopez14,0.984,2874,12770963847179362304,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.99,320.0,9656.0,57.94,BUY,VE,"[""Mercantil""]",Maryscriptos,1.0,7,12740834828148105216,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.99,500.0,35834.0,215.02,BUY,VE,"[""Mercantil""]",Angellys28,1.0,1288,12686422931979247616,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.99,1000.0,4321.0,25.93,BUY,VE,"[""Banesco""]",CambioDirecto,0.993,1376,12782105983045029888,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.99,300.0,388.0,2.33,BUY,VE,"[""Transfers with specific bank"", ""Bank Transfer""]",WayP2P,0.992,236,12774554730585051136,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.999,32000.0,33000.0,200.0,BUY,VE,"[""BNC Banco Nacional de Cr\u00e9dito""]",rjpv26,0.983,55,12782492481908428800,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.999,10000.0,34963.0,209.78,BUY,VE,"[""Banesco""]",Andatoza,1.0,100,12780073922720026624,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.999,8000.0,44465.0,266.69,BUY,VE,"[""Banesco""]",epiracFJ,0.971,329,13764399045581815808,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,166.999,50000.0,50978.0,305.87,BUY,VE,"[""Transfers with specific bank"", ""Bank Transfer""]",起Gladino_Capital都,0.995,195,12783512885427654656,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,167.0,300.0,2461.0,14.77,BUY,VE,"[""Banesco""]",P2P-3bdc91dd,1.0,92,12780678479109033984,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,167.0,300.0,5000.0,100.0,BUY,VE,"[""Mercantil""]",rarorax,1.0,28,12781821249892909056,,,collection_20250730_022245
binance,2025-07-30T00:22:46.484865Z,USDT,VES,167.0,300.0,2056.0,12.34,BUY,VE,"[""Banesco"", ""Pago Movil""]",StephanyGaray,0.967,230,12777485709631938560,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,3200.0,14000.0,100.0,BUY,VE,"[""Banesco"", ""Provincial"", ""Mercantil""]",P2P-Venus86,0.993,138,12760821557756571648,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,1000.0,6864.0,41.17,BUY,VE,"[""Banesco""]",VnzlaPlaneT,0.995,2970,13740733498104774656,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,300.0,4281.0,25.69,BUY,VE,"[""Banesco""]",premuscrypto,0.928,206,12783631926249684992,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,300.0,531.0,3.19,BUY,VE,"[""Transfers with specific bank"", ""Bank Transfer""]",Nildapi-a,0.956,108,12782076884398092288,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,300.0,8500.0,100.0,BUY,VE,"[""Banesco""]",Candycandy12,1.0,599,12768606068162342912,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,75000.0,108333.0,650.0,BUY,VE,"[""Pago Movil"", ""Banplus"", ""Banesco""]",JoseLC,1.0,28,12758497271337746432,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,6200.0,6250.0,100.0,BUY,VE,"[""Banesco"", ""Pago Movil"", ""Mercantil"", ""Bancamiga""]",deyli397,0.986,66,12740774352675180544,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,7000.0,29521.0,177.13,BUY,VE,"[""Banesco""]",MCFF_Exchange,1.0,79,12782820598043930624,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,16600.0,16666.0,100.0,BUY,VE,"[""Banesco"", ""Provincial"", ""Mercantil"", ""Bancamiga""]",thor1504,0.993,136,12756463489840283648,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,83500.0,166666.0,1000.0,BUY,VE,"[""Banesco""]",SanchezJ01,1.0,247,12776403937464066048,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,100000.0,157556.0,944.77,BUY,VE,"[""Banesco""]",Drendex,0.999,8005,13756463705425727488,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.0,10000.0,879918.0,5276.35,BUY,VE,"[""Pago Movil"", ""Banesco""]",Michu__007,0.945,7543,13774042107268059136,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.05,40000.0,51667.0,310.0,BUY,VE,"[""Banesco""]",Cambios_Vargas,0.933,69,12782138354520195072,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.075,70000.0,417422.0,2501.91,BUY,VE,"[""Banesco""]",TU CAMBIO,1.0,7035,13773127394002231296,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.08,20000.0,100248.0,800.0,BUY,VE,"[""Banesco""]",_CambioBTC,0.999,719,12778407684227325952,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.08,50000.0,69107.0,414.28,BUY,VE,"[""Banesco""]",Jearrioja,0.995,3172,13782838049426583552,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.09,70000.0,250635.0,1502.1,BUY,VE,"[""Banesco""]",EXCHANGE_P2P_RAPIDO,1.0,5954,13754009264472338432,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.099,130000.0,139000.0,837.93,BUY,VE,"[""Banesco""]",ExpressCriptoP2P,0.998,3903,13769383772939767808,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.1,10000.0,16311.0,97.81,BUY,VE,"[""Bank Transfer""]",manonjunior,0.978,1094,12782161207022809088,,,collection_20250730_022245
binance,2025-07-30T00:22:47.507590Z,USDT,VES,167.1,50000.0,191169.0,1146.33,BUY,VE,"[""Banesco""]",Al3ss0,0.999,2793,12750674088463757312,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.1,100000.0,587778.0,3524.56,BUY,VE,"[""Banesco""]",JORMEN,0.999,528,12780749246686560256,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.1,200000.0,405000.0,6986.28,BUY,VE,"[""Banesco""]",OzzieMen848,1.0,3128,13779326771136716800,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.12,5000.0,16678.0,100.0,BUY,VE,"[""Provincial"", ""BNC Banco Nacional de Cr\u00e9dito"", ""Mercantil"", ""Bancamiga""]",R_CAPITAL-TRADER,0.933,110,12782080013051543552,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.12,280000.0,286001.0,1713.75,BUY,VE,"[""Banesco""]",Invcaf,0.997,292,13748479907094716416,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.12,10000.0,29619.0,177.59,BUY,VE,"[""Banesco"", ""Pago Movil""]",BoyerArt,0.957,220,12781317801498976256,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.13,200000.0,335159.0,2008.19,BUY,VE,"[""Banesco""]",DxvidExchange,0.999,5645,13754709589206011904,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.139,200000.0,417930.0,2504.0,BUY,VE,"[""Banesco""]",Mercurius_P2P,0.998,2665,13765765282963890176,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.14,150000.0,501420.0,3004.8,BUY,VE,"[""Banesco""]",TheMerchanTHM,0.977,963,13775339324059811840,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.145,80000.0,286290.0,1714.54,BUY,VE,"[""Banesco""]",majog,0.997,15238,13757257904868384768,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.169,60000.0,70004.0,419.35,BUY,VE,"[""Banesco""]",Yourcoins,0.997,5046,13760785914161020928,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.195,100000.0,167762.0,1005.0,BUY,VE,"[""Banesco""]",CRIPTOCARIBE-JE,1.0,1179,13730589034636828672,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.198,20000.0,97088.0,583.62,BUY,VE,"[""Mercantil""]",yamary,0.885,351,12779239379104186368,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.2,25300.0,34000.0,205.0,BUY,VE,"[""Banesco""]",GeokP2P,1.0,1,12783624146589171712,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.2,100000.0,166417.0,997.31,BUY,VE,"[""Banesco""]",viclop,0.994,1252,12772698225745567744,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.2,500.0,24244.0,145.29,BUY,VE,"[""Banesco"", ""Pago Movil""]",Geral670,0.927,176,12783546298830237696,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.2,400000.0,1070774.0,6413.12,BUY,VE,"[""Banesco""]",Divisas_Coffee,1.0,4762,13644015950766391296,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.2,4000.0,33706.0,202.0,BUY,VE,"[""Banesco"", ""Provincial"", ""Pago Movil"", ""Bancamiga"", ""Bancaribe""]",P2P-ElieF24,0.994,789,12781829816425275392,,,collection_20250730_022245
binance,2025-07-30T00:22:49.352791Z,USDT,VES,167.22,40000.0,41815.0,250.41,BUY,VE,"[""Banesco""]",AlainT,1.0,5823,13774356899855507456,,,collection_20250730_022245
